jday,mon,day,yr,precip,snofall,snomlt,et,pet,Perc,lai,tmx,tmn,tmpav,solarad,phubas
1,1,1,2002,9.34E-03,0,0,0.495,0.624,0.513,2.75,1.1,-3.3,-1.1,3.95,0
2,1,2,2002,0.866,0.144,0.144,1.27,1.49,0.504,2.75,3.43,-0.974,1.23,3.81,3.45E-04
3,1,3,2002,0.582,0,0,1.02,1.17,0.495,2.75,4.11,-0.287,1.91,3.16,8.83E-04
4,1,4,2002,3.78,1.23,1.23,0.345,0.422,0.497,2.75,3.46,-0.935,1.26,3.1,1.24E-03
5,1,5,2002,1.13,0,0,0.112,0.123,0.493,2.75,7.48,3.08,5.28,1.7,2.72E-03
6,1,6,2002,0,0,0,8.06E-02,9.91E-02,0.485,2.75,7.59,3.19,5.39,1.25,4.24E-03
7,1,7,2002,1.33,0,0,0.226,0.267,0.483,2.75,8.18,3.78,5.98,0.859,5.92E-03
8,1,8,2002,0,0,0,0.363,0.452,0.476,2.75,6.94,2.54,4.74,1.37,7.26E-03
9,1,9,2002,0,0,0,0.325,0.407,0.469,2.75,4.53,0.135,2.33,3.74,7.91E-03
10,1,10,2002,0.476,3.75E-02,3.75E-02,0.157,0.175,0.462,2.75,3.06,-1.34,0.861,2.28,8.15E-03
11,1,11,2002,0.39,0,0,0.332,0.403,0.456,2.75,6.81,2.41,4.61,2.43,9.45E-03
12,1,12,2002,0.316,0,0,0.732,0.846,0.45,2.75,8.86,4.46,6.66,4,1.13E-02
13,1,13,2002,5.52,0,0,0.322,0.393,0.463,2.75,10.4,5.95,8.15,0.694,1.36E-02
14,1,14,2002,10.2,0,0,0.396,0.489,0.5,2.75,9.87,5.47,7.67,0.298,1.58E-02
15,1,15,2002,0.314,0,0,0.767,0.921,0.492,2.75,7.06,2.66,4.86,4.54,1.71E-02
16,1,16,2002,15.2,0,0,0.448,0.553,0.546,2.75,9.2,4.81,7.01,0.944,1.91E-02
17,1,17,2002,1.23,0,0,0.621,0.774,0.538,2.75,9.08,4.68,6.88,2.79,2.11E-02
18,1,18,2002,7.93,0,0,0.804,1,0.56,2.75,7.5,3.1,5.3,1.02,2.25E-02
19,1,19,2002,1.98,0,0,1.28,1.52,0.553,2.75,8.78,4.38,6.58,3.77,2.44E-02
20,1,20,2002,1.34,0,0,0.702,0.869,0.545,2.75,11.3,6.94,9.14,1.84,2.70E-02
21,1,21,2002,5.8,0,0,0.621,0.777,0.557,2.75,12,7.59,9.78,0.484,2.97E-02
22,1,22,2002,14.6,0,0,0.971,1.19,0.606,2.75,8.81,4.41,6.61,3.02,3.16E-02
23,1,23,2002,9.61,0,0,0.499,0.62,0.625,2.75,10.8,6.37,8.57,1.03,3.40E-02
24,1,24,2002,2.93,0,0,1.02,1.24,0.615,2.75,7.89,3.49,5.69,2.18,3.56E-02
25,1,25,2002,22.4,0,0,0.64,0.8,0.695,2.75,8.37,3.97,6.17,0.375,3.73E-02
26,1,26,2002,1.52,0,0,1.25,1.49,0.66,2.75,10.6,6.22,8.42,5.32,3.97E-02
27,1,27,2002,3.53,0,0,0.709,0.887,0.656,2.75,10.5,6.07,8.27,0.545,4.20E-02
28,1,28,2002,0.265,0,0,1.65,2.03,0.642,2.75,10.9,6.48,8.68,4.08,4.45E-02
29,1,29,2002,9.61,0,0,1.09,1.31,0.661,2.75,11.4,7.04,9.24,2.55,4.71E-02
30,1,30,2002,3.79E-04,0,0,0.628,0.799,0.642,2.75,10.5,6.08,8.28,2.02,4.94E-02
31,1,31,2002,26.5,0,0,0.992,1.21,0.738,2.75,8.93,4.53,6.73,0.395,5.13E-02
32,2,1,2002,12.7,0,0,0.774,0.973,0.744,2.75,11,6.64,8.84,0.439,5.38E-02
33,2,2,2002,21.8,0,0,0.765,0.961,0.803,2.75,11.3,6.91,9.11,1.13,5.63E-02
34,2,3,2002,3.46,0,0,1.08,1.31,0.762,2.75,9.01,4.61,6.81,5.96,5.83E-02
35,2,4,2002,15.8,0,0,0.771,0.965,0.804,2.75,9.11,4.71,6.91,0.756,6.02E-02
36,2,5,2002,5.19,0,0,1.03,1.25,0.777,2.75,9.09,4.69,6.89,5.58,6.21E-02
37,2,6,2002,6.13,0,0,1.44,1.69,0.773,2.75,7.8,3.4,5.6,4.03,6.37E-02
38,2,7,2002,4.3,0,0,0.696,0.87,0.76,2.75,9.23,4.83,7.03,0.788,6.57E-02
39,2,8,2002,8.85,0,0,0.557,0.694,0.774,2.75,11.4,6.97,9.17,1.19,6.83E-02
40,2,9,2002,0.221,0,0,1.45,1.65,0.742,2.75,9.66,5.26,7.46,3.98,7.04E-02
41,2,10,2002,9.97,0,0,1.03,1.25,0.759,2.75,10.2,5.75,7.95,3.49,7.26E-02
42,2,11,2002,0,0,0,0.929,1.19,0.732,2.75,12.1,7.67,9.87,6.44,7.54E-02
43,2,12,2002,0.538,0,0,1.55,1.79,0.711,2.75,10.8,6.39,8.59,5.84,7.78E-02
44,2,13,2002,0.178,0,0,0.947,1.15,0.692,2.75,7.63,3.23,5.43,3.78,7.93E-02
