precip,snofall,snomlt,et,flo_out
10.9,0,16.8,0.233,2.34
7.76,0,8.57,0.229,3.42
22.3,0,0.111,0.389,4.19
5.79E-02,0,0,0.266,2.98
0.523,0,0,9.85E-03,2.12
3.02,0,0,0.483,1.76
6.63,0,0,0.636,1.68
0.133,0,0,0.356,1.18
0,0,0,5.90E-02,0.838
0,0,0,0.523,0.598
0,0,0,0.49,0.427
0,0,0,0.223,0.304
0,0,0,0.119,0.219
0,0,0,0.144,0.158
0,0,0,5.99E-02,0.115
0,0,0,0.108,8.43E-02
3.73E-02,3.57E-03,9.14E-04,0.109,6.27E-02
0,0,0,1.19E-02,4.68E-02
0,0,0,2.53E-02,3.55E-02
4.21,2.4,0.728,4.19E-02,4.21E-02
1.28,0.78,2.42,0.245,0.197
8.03,0,3.73E-02,0.264,0.781
17.8,0,0,0.509,1.9
8.77,0,0,1.03,2.09
12.3,0,0,0.838,2.41
2.06E-02,0,0,0.574,1.64
0,0,0,0.301,1.17
0.799,3.15E-02,3.15E-02,0.102,0.832
12.8,0,0,0.275,1.4
6.63,0,0,4.87E-02,1.45
1.76E-03,0,0,5.74E-02,1
14,0,0,0.183,1.7
25.1,0,0,0.185,2.88
10.7,0,0,0.381,2.57
17.8,0,0,0.111,2.85
15.6,0,0,0.206,3.1
6.96,0,0,1.16,2.54
18.7,0,0,0.451,3.11
0,0,0,0.83,2.1
1.72,0.357,0.348,0.509,1.54
28.8,0,9.37E-03,0.506,3.06
32.2,0,0,0.194,4.22
9.35E-04,0,0,0.339,2.82
0,0,0,0.37,2
0,0,0,0.607,1.42
1.49,0,0,0.333,1.02
0,0,0,0.471,0.725
0,0,0,0.352,0.518
0.554,3.04E-02,5.09E-03,0.421,0.372
2.39,0,2.53E-02,5.69E-02,0.368
2.14,0,0,0.453,0.366
4.75,0,0,9.51E-02,0.513
2.67,0,0,0.267,0.529
0.538,0,0,0.978,0.389
1.97,0.667,0.667,1.02,0.35
10.5,6.02,2.17,0.806,0.46
8.31,2.71,3.02,0.212,0.709
6.07,4.03,1.36,0.318,0.616
0.94,0.63,0.364,0.519,0.45
6.63E-02,5.77E-03,4.57E-04,0.527,0.318
0,0,0,0.494,0.226
0,0,0,0.421,0.162
0,0,0,0.339,0.117
0,0,1.78,0.449,0.267
10.1,0,4.59,0.801,1.17
3.1,0,0,1.03,1.41
6.07,0,0,1.04,1.45
18.5,0,0,0.385,2.2
2.22,0,0,0.343,1.59
5.91,0,0,0.371,1.5
7.4,0,0,1.21,1.57
3.45E-02,0,0,0.735,1.08
0,0,0,0.356,0.767
4.13,0,0,0.649,0.659
4.4,0,0,0.593,0.64
3.19,2.19,2.19,0.683,0.723
2.16E-02,1.50E-03,1.50E-03,1.08,0.502
0,0,0,0.567,0.358
8.38,3.41,3.02,1.69,0.418
27.4,15.9,3.76,0.466,0.708
2.31,0,10.6,0.293,1.56
2.16E-02,0,1.95,0.588,1.35
0,0,0,0.555,0.957
