precip,snofall,snomlt,et,flo_out
7.81,0,8.73,0.488,1.314
3.51,0,0,0.461,1.099
18,0,0,0.654,1.733
0,0,0,0.471,1.042
1.11,0,0,7.67E-02,0.72
0.673,0,0,0.625,0.644
2.48,0,0,0.827,0.65
0,0,0,0.609,0.591
0,0,0,0.219,0.548
0,0,0,0.724,0.507
0,0,0,1.12,0.469
0,0,0,0.743,0.446
0,0,0,0.533,0.422
0,0,0,0.651,0.404
0,0,0,0.326,0.385
0,0,0,0.401,0.369
0,0,0,0.325,0.357
0.138,2.57E-02,2.11E-02,0.124,0.348
0,0,7.72E-04,0.205,0.369
3.33,2.26,2.15,0.386,0.368
1.48,0,0.118,0.324,0.428
8.26,0,0,0.421,0.706
13.9,0,0,0.632,1.114
5.54,0,0,1.2,0.671
6.1,0,0,0.917,0.931
0,0,0,0.786,0.599
0,0,0,0.753,0.459
1.35,0.193,0.193,0.242,0.42
13.3,0,0,0.472,0.644
5.66,0,0,0.179,1.343
0,0,0,0.162,0.769
14.5,0,0,0.308,1.446
19,0,0,0.332,1.759
11.8,0,0,0.597,1.265
11.9,0,0,0.265,2.202
10.7,0,0,0.364,1.974
4.53,0,0,1.2,1.267
14.5,0,0,0.551,1.877
0.138,9.44E-03,9.44E-03,1.1,1.012
1.61,0.309,0.309,0.71,0.879
16.9,0,0,0.575,1.422
22.9,0,0,0.288,2.872
0.603,0,0,0.523,1.845
0,0,0,0.539,1.068
0,0,0,0.924,0.942
1.21,0,0,0.371,0.88
0,0,0,0.599,0.793
5.67E-02,2.11E-03,2.11E-03,0.513,0.713
0.2,5.20E-02,5.20E-02,0.644,0.664
2.17,0,0,0.217,0.666
0.859,0,0,0.514,0.619
3.13,0,0,0.239,0.643
2.43,0,0,0.391,0.633
0.829,0,0,1.19,0.559
1.59,0.309,0.309,1.1,0.505
11.7,4.4,3.41,0.922,0.505
4.83,0,0.948,0.435,1.263
4.8,1.67,1.67,0.515,0.961
3.79E-04,0,0,0.769,0.719
0,0,0,0.769,0.58
0,0,0,0.933,0.504
0,0,0,0.977,0.465
0,0,0,0.943,0.436
0,0,0,1.15,0.425
9.81,0,0,0.98,0.572
3.6,0,0,1.12,0.574
4.81,0,0,1.16,0.688
11.8,0,0,0.442,0.738
1.75,0,0,0.466,1.074
3.17,0,0,0.479,0.748
6.24,0,0,1.36,0.92
4.74E-02,0,0,1.16,0.706
3.86E-02,0,0,0.894,0.539
4.55,0,0,0.752,0.53
4.29,0,0,0.732,0.653
1.14,0,0,0.823,0.719
0,0,0,1.37,0.52
0,0,0,1.3,0.472
10.6,0,0,1.93,0.446
25.9,0,0,0.566,1.539
1.01,0,0,0.475,1.182
0,0,0,0.615,0.653
0,0,0,0.729,0.556
0,0,0,1.07,0.504
5.36,0,0,1.64,0.48
6.38,0,0,0.594,0.745
1.3,0,0,1.22,0.634
0.676,0,0,1.13,0.504
6.93,0,0,2,0.483
4.69,0,0,0.521,0.854
0.855,0,0,1.6,0.529
1.04,0,0,1.16,0.475
24.4,0,0,1.69,0.862
3.37,0,0,1.71,0.718
22.2,0,0,0.66,2.69
11.1,0,0,0.708,2.064
2.38,0,0,0.9,1.041
12,0,0,0.881,1.518
4.33,0,0,0.747,0.933
0.665,0,0,1.22,0.758
0,0,0,1.83,0.668
1.67,0,0,0.89,0.688
0.982,0,0,1.16,0.638
10.3,0,0,0.669,0.886
0.347,0,0,1.35,0.737
0,0,0,1.72,0.556
3.26,0,0,1.02,0.557
1.56,0,0,2.12,0.501
0.235,0,0,2.06,0.458
0,0,0,2.14,0.426
13.3,0,0,1.86,0.604
19.3,0,0,0.45,2.107
0.339,0,0,2.21,0.66
8.56,0,0,0.86,0.859
1.15,0,0,1.53,0.601
0,0,0,2.08,0.505
6.57,0,0,1.5,0.651
7.14,0,0,2.39,0.611
1.99,0,0,2.18,0.816
0,0,0,1.96,0.505
0.532,0,0,2.64,0.443
0,0,0,2.55,0.419
0,0,0,2.29,0.397
0,0,0,2.39,0.382
0,0,0,2.42,0.365
0,0,0,2.41,0.35
0,0,0,2.59,0.337
0,0,0,2.18,0.326
12.7,0,0,3.07,0.351
1.66,0,0,1.58,0.458
0,0,0,2.56,0.345
0,0,0,3.67,0.311
4.29,0,0,3.38,0.3
1.28,0,0,2.49,0.294
0.881,0,0,1.17,0.291
5.37,0,0,1.53,0.334
0.469,0,0,1.25,0.292
0,0,0,1.89,0.269
0,0,0,1.53,0.258
0,0,0,1.77,0.251
0,0,0,1.8,0.239
0,0,0,3.36,0.228
0,0,0,3.33,0.221
0,0,0,3.75,0.214
5.26E-02,0,0,2.74,0.212
12.4,0,0,1.13,0.241
8.37,0,0,0.592,0.333
1.90E-04,0,0,1.16,0.398
0,0,0,3.41,0.254
0.139,0,0,2.37,0.229
