1111,3333,6666,jday,mon,day,yr,precip,snofall,snomlt,et,pet,wateryld,perc,lai,tmx,tmn,tmpav,solarad,phubas,swatFlow,URMD,URLD,UCOM,UTRN,UIDU,AGRC,ORCD,PAST,AGRL,FRSD,FRSE,FRST,RNGE,RNGB,BARR,WETN,WATR,ARha,CMdy,CMeu,FLca,FLeu,GLca,GLdy,GLeu,GLhu,GLmo,HSdy,HSeu,LPca,LPdy,LPha,LVgl,LVha,PZha,PZpi,RGca,slopeBand1,slopeBand2,slopeBand3,water,eBand1,eBand2,eBand3,eBand4,eBand5,eBand6,eBand7,eBand8,eBand9,eBand10,eBand11
0,0,0,1,1,1,2008,5.28E-02,0,0,0.219,0.314,5.45,0.455,1.46,9.71,5.21,7.46,1.48,2.21E-03,4.863930979,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,2,1,2,2008,0,0,0,0.443,0.656,4.92,0.437,1.46,5.62,1.12,3.37,0.989,3.20E-03,4.435308709,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,3,1,3,2008,6.91E-02,3.55E-02,9.92E-03,0.504,0.801,4.46,0.42,1.46,1.87,-2.63,-0.384,3.15,3.23E-03,4.062593691,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,4,1,4,2008,10.4,0,2.56E-02,0.292,0.431,5.86,0.431,1.46,5,0.499,2.75,0.841,4.04E-03,5.572089512,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,5,1,5,2008,1.45E-02,0,0,0.751,1.11,4.33,0.415,1.46,7.56,3.06,5.31,3.72,5.61E-03,3.950779186,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,6,1,6,2008,8.02,0,0,0.494,0.754,5.05,0.421,1.46,6.83,2.33,4.58,3.35,6.96E-03,4.808023726,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,7,1,7,2008,12.2,0,0,0.831,1.27,6.37,0.437,1.46,7.75,3.25,5.5,2.33,8.59E-03,6.112526287,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,8,1,8,2008,16.6,0,0,0.328,0.47,8.21,0.461,1.46,8.48,3.98,6.23,0.602,1.04E-02,7.845651119,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,9,1,9,2008,65.3,0,0,0.688,1.05,31.4,0.566,1.46,6.76,2.26,4.51,2.71,1.18E-02,30.18991642,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
0,0,0,10,1,10,2008,7.64,0,0,0.405,0.603,10.2,0.555,1.46,8.97,4.47,6.72,0.802,1.38E-02,9.075610677,0,1.62,0,0,4.59,0,0,35.78,0,0,0.02,0,28.48,25.46,3.28,0,0.76,0,36.5,0,0,0,0,0,0,24.44,0,0,0,0,0,34.03,0,0,0,5.03,0,10.11,23.27,66.62,0,12.96,30.38,25.74,16.1,7.09,5.23,2.42,0.14,0,0,0
