1111,3333,6666,jday,mon,day,yr,precip,snofall,snomlt,et,pet,wateryld,perc,lai,tmx,tmn,tmpav,solarad,phubas,swatFlow,URMD,URLD,UCOM,UTRN,UIDU,AGRC,ORCD,PAST,AGRL,FRSD,FRSE,FRST,RNGE,RNGB,BARR,WETN,WATR,ARha,CMdy,CMeu,FLca,FLeu,GLca,GLdy,GLeu,GLhu,GLmo,HSdy,HSeu,LPca,LPdy,LPha,LVgl,LVha,PZha,PZpi,RGca,slopeBand1,slopeBand2,slopeBand3,water,eBand1,eBand2,eBand3,eBand4,eBand5,eBand6,eBand7,eBand8,eBand9,eBand10,eBand11
0,0,0,1,1,1,2008,0.1,0,0,0.128,0.24,14.1,0.278,3.11E-02,7.47,2.97,5.22,1.11,1.59E-03,13.93607852,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,2,1,2,2008,0,0,0,0.252,0.513,12.1,0.245,3.11E-02,3.42,-1.08,1.17,0.644,1.95E-03,11.94521016,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,3,1,3,2008,0.197,0.183,0,0.361,0.711,10.4,0.217,3.11E-02,-0.323,-4.82,-2.57,2.76,1.95E-03,10.24928526,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,4,1,4,2008,18.9,9.74,1.5,0.176,0.334,10.3,0.214,3.11E-02,2.77,-1.73,0.522,0.81,2.12E-03,11.35532323,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,5,1,5,2008,0,0,7.3,0.417,0.831,9.88,0.208,3.11E-02,5.33,0.827,3.08,3.08,3.06E-03,9.806870066,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,6,1,6,2008,15.1,0,0.913,0.333,0.653,10.7,0.22,3.11E-02,4.62,0.117,2.37,3.11,3.79E-03,11.4290591,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,7,1,7,2008,18.7,0,0,0.481,0.949,11.8,0.237,3.11E-02,5.53,1.03,3.28,1.85,4.79E-03,12.75630467,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,8,1,8,2008,27.3,0,0,0.175,0.332,14.3,0.271,3.11E-02,6.28,1.78,4.03,0.478,6.02E-03,15.77947514,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,9,1,9,2008,122,0,0,0.426,0.836,51.8,0.455,3.11E-02,4.53,2.67E-02,2.28,2.67,6.71E-03,58.17759761,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,10,1,10,2008,14.7,0,0,0.247,0.474,23.9,0.429,3.11E-02,6.79,2.29,4.54,0.597,8.10E-03,24.40657137,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,11,1,11,2008,0.884,0.87,0.713,0.133,0.246,20.1,0.376,3.11E-02,2.26,-2.24,6.40E-03,1.98,8.19E-03,19.90868359,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,12,1,12,2008,23.6,0,0.157,0.202,0.384,21.1,0.382,3.11E-02,4.74,0.241,2.49,1.85,8.95E-03,22.26823128,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,13,1,13,2008,45.4,0,0,0.281,0.541,28.2,0.426,3.11E-02,8.31,3.81,6.06,0.264,1.08E-02,30.52664818,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
0,0,0,14,1,14,2008,26.9,0,0,0.264,0.506,25,0.43,3.11E-02,6.6,2.1,4.35,0.46,1.21E-02,26.249968,0,0,0,0,0,0,0,0,0,0,0,0,34.5,27.63,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1.39,2.45,96.16,0,0,9.09,13.1,14.78,14.73,13.7,13.61,13.15,6.49,1.32,0.2
