mon,day,yr,precip,et,pet,URLD,UCOM,AGRC,FRSD,FRST,GLdy,eBand10,eBand11,oFlow
1,1,2002,8.93E-02,5.34E-02,8.87E-02,0,0,0,0,0,0,0,0,2.875868006
1,2,2002,0.107,0.343,0.639,0,0,0,0,0,0,0,0,2.694060258
1,3,2002,0,0.287,0.551,0,0,0,0,0,0,0,0,2.545308465
1,4,2002,4.98,1.63E-02,2.00E-02,0,0,0,0,0,0,0,0,2.479196557
1,5,2002,3.93,0,0,0,0,0,0,0,0,0,0,4.941865136
1,6,2002,0,0,0,0,0,0,0,0,0,0,0,3.206427547
1,7,2002,0.107,1.59E-02,2.04E-02,0,0,0,0,0,0,0,0,2.859340029
1,8,2002,0,6.35E-02,0.212,0,0,0,0,0,0,0,0,2.661004304
1,9,2002,0,2.11E-02,7.61E-02,0,0,0,0,0,0,0,0,2.528780488
1,10,2002,8.93E-02,2.29E-02,4.27E-02,0,0,0,0,0,0,0,0,2.429612626
1,11,2002,7.17E-03,3.28E-02,0.109,0,0,0,0,0,0,0,0,2.363500717
1,12,2002,0,0.111,0.394,0,0,0,0,0,0,0,0,2.280860832
1,13,2002,4.92,6.21E-02,0.166,0,0,0,0,0,0,0,0,2.396556671
1,14,2002,14.9,6.68E-02,0.182,0,0,0,0,0,0,0,0,3.817962697
1,15,2002,3.1,9.16E-02,0.268,0,0,0,0,0,0,0,0,3.950186514
1,16,2002,28.6,5.77E-02,0.149,0,0,0,0,0,0,0,0,7.99954089
1,17,2002,3.49,9.95E-02,0.293,0,0,0,0,0,0,0,0,11.23902439
1,18,2002,13.8,0.117,0.354,0,0,0,0,0,0,0,0,9.78456241
1,19,2002,18.9,0.306,1,0,0,0,0,0,0,0,0,8.197876614
1,20,2002,14.4,0.163,0.508,0,0,0,0,0,0,0,0,24.08126255
1,21,2002,10.9,0.152,0.466,0,0,0,0,0,0,0,0,18.62703013
1,22,2002,8.38,0.235,0.748,0,0,0,0,0,0,0,0,13.99919656
1,23,2002,15.4,0.116,0.342,0,0,0,0,0,0,0,0,16.70978479
1,24,2002,2.45,0.207,0.649,0,0,0,0,0,0,0,0,12.03236729
1,25,2002,50.9,0.135,0.404,0,0,0,0,0,0,0,0,28.27936872
1,26,2002,6.28,0.334,1.07,0,0,0,0,0,0,0,0,24.95724534
