date,flow,
01/07/1966,0.184,
02/07/1966,0.159,
03/07/1966,0.184,
04/07/1966,0.159,
05/07/1966,0.473,
06/07/1966,0.289,
07/07/1966,0.184,
08/07/1966,0.159,
09/07/1966,0.159,
10/07/1966,0.527,
11/07/1966,0.289,
12/07/1966,0.184,
13/07/1966,0.159,
14/07/1966,0.184,
15/07/1966,0.317,
16/07/1966,0.289,
17/07/1966,0.159,
18/07/1966,0.133,
19/07/1966,0.133,
20/07/1966,0.11,
21/07/1966,0.11,
22/07/1966,0.105,
23/07/1966,0.105,
24/07/1966,0.159,
25/07/1966,0.159,
26/07/1966,0.527,
27/07/1966,0.263,
28/07/1966,1.63,
29/07/1966,0.844,
30/07/1966,1.32,
31/07/1966,0.79,
01/08/1966,0.895,
02/08/1966,0.473,
03/08/1966,1.16,
04/08/1966,0.58,
05/08/1966,0.317,
06/08/1966,0.238,
07/08/1966,0.21,
08/08/1966,0.184,
09/08/1966,0.58,
10/08/1966,0.289,
11/08/1966,0.895,
12/08/1966,2.16,
13/08/1966,2.48,
14/08/1966,0.552,
15/08/1966,0.317,
16/08/1966,0.21,
17/08/1966,0.184,
18/08/1966,0.159,
19/08/1966,0.159,
20/08/1966,0.159,
21/08/1966,0.159,
22/08/1966,0.133,
23/08/1966,0.133,
24/08/1966,0.133,
25/08/1966,0.133,
26/08/1966,0.122,
27/08/1966,0.122,
28/08/1966,0.11,
29/08/1966,0.11,
30/08/1966,0.11,
31/08/1966,0.11,
01/09/1966,0.17,
02/09/1966,0.368,
03/09/1966,0.184,
04/09/1966,1.48,
05/09/1966,0.289,
06/09/1966,0.21,
07/09/1966,0.159,
08/09/1966,0.142,
09/09/1966,0.127,
10/09/1966,0.527,
11/09/1966,0.79,
12/09/1966,1.58,
13/09/1966,1.32,
14/09/1966,3.96,
15/09/1966,0.949,
16/09/1966,0.368,
17/09/1966,0.263,
18/09/1966,0.21,
19/09/1966,0.184,
20/09/1966,0.17,
21/09/1966,0.17,
22/09/1966,0.164,
23/09/1966,0.159,
24/09/1966,0.147,
25/09/1966,0.142,
26/09/1966,0.133,
27/09/1966,0.133,
28/09/1966,0.133,
29/09/1966,0.127,
30/09/1966,0.122,
01/10/1966,0.127,
02/10/1966,0.227,
03/10/1966,1.44,
04/10/1966,2.8,
05/10/1966,0.595,
06/10/1966,0.411,
07/10/1966,0.311,
08/10/1966,0.232,
09/10/1966,0.207,
10/10/1966,0.19,
11/10/1966,0.283,
12/10/1966,0.19,
13/10/1966,0.238,
14/10/1966,0.207,
15/10/1966,3.06,
16/10/1966,0.889,
17/10/1966,0.932,
18/10/1966,1.81,
19/10/1966,3.06,
20/10/1966,0.833,
21/10/1966,0.501,
22/10/1966,0.453,
23/10/1966,0.47,
24/10/1966,0.323,
25/10/1966,0.246,
26/10/1966,0.269,
27/10/1966,0.753,
28/10/1966,0.306,
29/10/1966,0.227,
30/10/1966,0.201,
31/10/1966,0.207,
01/11/1966,0.886,
02/11/1966,0.617,
03/11/1966,0.275,
04/11/1966,0.246,
05/11/1966,1.06,
06/11/1966,1.3,
07/11/1966,0.515,
08/11/1966,0.337,
09/11/1966,0.258,
10/11/1966,0.269,
11/11/1966,0.552,
12/11/1966,2.26,
13/11/1966,2.81,
14/11/1966,1.03,
15/11/1966,2.53,
16/11/1966,1.87,
17/11/1966,0.527,
18/11/1966,0.331,
19/11/1966,0.28,
20/11/1966,0.246,
21/11/1966,0.221,
22/11/1966,0.204,
23/11/1966,0.19,
24/11/1966,0.178,
25/11/1966,0.405,
26/11/1966,0.405,
27/11/1966,0.997,
28/11/1966,0.631,
29/11/1966,2.38,
30/11/1966,2.72,
01/12/1966,4.87,
02/12/1966,2.92,
03/12/1966,0.589,
04/12/1966,0.507,
05/12/1966,1.29,
06/12/1966,0.827,
07/12/1966,0.852,
08/12/1966,2.24,
09/12/1966,3.57,
10/12/1966,2,
11/12/1966,0.968,
12/12/1966,1.26,
13/12/1966,0.875,
14/12/1966,0.575,
15/12/1966,0.912,
16/12/1966,1.39,
17/12/1966,1.24,
18/12/1966,1.43,
19/12/1966,1.29,
20/12/1966,2.02,
21/12/1966,0.68,
22/12/1966,0.68,
23/12/1966,1.16,
24/12/1966,3.06,
25/12/1966,0.589,
26/12/1966,0.391,
27/12/1966,0.985,
28/12/1966,0.595,
29/12/1966,2.73,
30/12/1966,0.889,
31/12/1966,2.47,
01/01/1967,0.657,
02/01/1967,0.396,
03/01/1967,0.331,
04/01/1967,0.294,
05/01/1967,0.263,
06/01/1967,0.354,
07/01/1967,0.926,
08/01/1967,0.331,
09/01/1967,0.269,
10/01/1967,0.246,
11/01/1967,0.269,
12/01/1967,0.258,
13/01/1967,0.232,
14/01/1967,0.21,
15/01/1967,0.201,
16/01/1967,0.19,
17/01/1967,0.201,
18/01/1967,0.728,
19/01/1967,1.4,
20/01/1967,0.547,
21/01/1967,0.954,
22/01/1967,0.595,
23/01/1967,1.68,
24/01/1967,0.569,
25/01/1967,1.19,
26/01/1967,0.716,
27/01/1967,1.64,
28/01/1967,0.606,
29/01/1967,0.606,
30/01/1967,0.852,
31/01/1967,0.643,
01/02/1967,1.86,
02/02/1967,1.71,
03/02/1967,0.623,
04/02/1967,0.323,
05/02/1967,0.3,
06/02/1967,0.275,
07/02/1967,0.28,
08/02/1967,0.246,
09/02/1967,0.215,
10/02/1967,0.201,
11/02/1967,0.19,
12/02/1967,0.178,
13/02/1967,0.164,
14/02/1967,0.153,
15/02/1967,0.153,
16/02/1967,0.362,
17/02/1967,0.759,
18/02/1967,0.337,
19/02/1967,1.03,
20/02/1967,1.55,
21/02/1967,0.923,
22/02/1967,3.34,
23/02/1967,2.66,
24/02/1967,0.507,
25/02/1967,1.5,
26/02/1967,0.937,
27/02/1967,5.49,
28/02/1967,1.84,
01/03/1967,0.954,
02/03/1967,0.648,
03/03/1967,0.354,
04/03/1967,0.283,
05/03/1967,0.374,
06/03/1967,0.311,
07/03/1967,0.391,
08/03/1967,0.507,
09/03/1967,1.84,
10/03/1967,1.13,
11/03/1967,0.399,
12/03/1967,0.306,
13/03/1967,0.306,
14/03/1967,0.326,
15/03/1967,0.357,
16/03/1967,0.244,
17/03/1967,0.227,
18/03/1967,0.21,
19/03/1967,0.19,
20/03/1967,0.17,
21/03/1967,0.159,
22/03/1967,0.164,
23/03/1967,0.164,
24/03/1967,0.147,
25/03/1967,0.731,
26/03/1967,1.22,
27/03/1967,0.447,
28/03/1967,0.912,
29/03/1967,0.453,
30/03/1967,0.459,
31/03/1967,0.331,
01/04/1967,0.252,
02/04/1967,2.61,
03/04/1967,0.623,
04/04/1967,0.326,
05/04/1967,0.238,
06/04/1967,0.21,
07/04/1967,0.362,
08/04/1967,0.51,
09/04/1967,0.558,
10/04/1967,0.283,
11/04/1967,0.215,
12/04/1967,0.195,
13/04/1967,0.184,
14/04/1967,0.17,
15/04/1967,0.142,
16/04/1967,0.133,
17/04/1967,0.127,
18/04/1967,0.116,
19/04/1967,0.11,
20/04/1967,0.127,
21/04/1967,0.195,
22/04/1967,0.473,
23/04/1967,0.47,
24/04/1967,0.396,
25/04/1967,0.663,
26/04/1967,0.227,
27/04/1967,0.19,
28/04/1967,0.147,
29/04/1967,0.127,
30/04/1967,0.116,
01/05/1967,0.11,
02/05/1967,0.136,
03/05/1967,0.19,
04/05/1967,1.42,
05/05/1967,0.589,
06/05/1967,0.643,
07/05/1967,0.765,
08/05/1967,0.883,
09/05/1967,0.496,
10/05/1967,0.238,
11/05/1967,0.379,
12/05/1967,0.43,
13/05/1967,1.03,
14/05/1967,0.447,
15/05/1967,1.82,
16/05/1967,0.844,
17/05/1967,0.399,
18/05/1967,0.28,
19/05/1967,3.62,
20/05/1967,1.02,
21/05/1967,1.36,
22/05/1967,1.2,
23/05/1967,1.4,
24/05/1967,1.29,
25/05/1967,1.65,
26/05/1967,0.527,
27/05/1967,0.801,
28/05/1967,0.6,
29/05/1967,0.416,
30/05/1967,0.479,
31/05/1967,0.337,
01/06/1967,0.215,
02/06/1967,0.173,
03/06/1967,0.17,
04/06/1967,0.173,
05/06/1967,0.153,
06/06/1967,0.17,
07/06/1967,0.164,
08/06/1967,0.142,
09/06/1967,0.127,
10/06/1967,0.11,
11/06/1967,0.105,
12/06/1967,0.099,
13/06/1967,0.091,
14/06/1967,0.085,
15/06/1967,0.079,
16/06/1967,0.074,
17/06/1967,0.068,
18/06/1967,0.068,
19/06/1967,0.062,
20/06/1967,0.079,
21/06/1967,0.091,
22/06/1967,0.142,
23/06/1967,0.17,
24/06/1967,0.663,
25/06/1967,0.926,
26/06/1967,0.43,
27/06/1967,0.246,
28/06/1967,0.159,
29/06/1967,0.496,
30/06/1967,0.195,
01/07/1967,0.13,
02/07/1967,0.122,
03/07/1967,0.136,
04/07/1967,0.142,
05/07/1967,0.116,
06/07/1967,0.099,
07/07/1967,0.096,
08/07/1967,0.091,
09/07/1967,0.079,
10/07/1967,0.068,
11/07/1967,0.062,
12/07/1967,0.062,
13/07/1967,0.059,
14/07/1967,0.062,
15/07/1967,0.057,
16/07/1967,0.054,
17/07/1967,0.054,
18/07/1967,0.054,
19/07/1967,0.054,
20/07/1967,0.136,
21/07/1967,0.091,
22/07/1967,0.074,
23/07/1967,0.057,
24/07/1967,0.057,
25/07/1967,0.074,
26/07/1967,0.074,
27/07/1967,0.637,
28/07/1967,0.269,
29/07/1967,0.784,
30/07/1967,2.4,
31/07/1967,2.32,
01/08/1967,0.416,
02/08/1967,0.238,
03/08/1967,0.204,
04/08/1967,0.195,
05/08/1967,0.21,
06/08/1967,0.227,
07/08/1967,0.17,
08/08/1967,0.133,
09/08/1967,0.136,
10/08/1967,0.374,
11/08/1967,0.246,
12/08/1967,0.595,
13/08/1967,0.643,
14/08/1967,1.32,
15/08/1967,0.544,
16/08/1967,0.362,
17/08/1967,0.28,
18/08/1967,4.81,
19/08/1967,1.38,
20/08/1967,0.36,
21/08/1967,0.238,
22/08/1967,0.184,
23/08/1967,0.164,
24/08/1967,0.147,
25/08/1967,0.136,
26/08/1967,0.133,
27/08/1967,0.133,
28/08/1967,0.116,
29/08/1967,0.105,
30/08/1967,0.099,
31/08/1967,0.311,
01/09/1967,0.6,
02/09/1967,0.759,
03/09/1967,1.91,
04/09/1967,1.49,
05/09/1967,6.74,
06/09/1967,1.37,
07/09/1967,0.589,
08/09/1967,0.323,
09/09/1967,0.238,
10/09/1967,0.201,
11/09/1967,0.711,
12/09/1967,1.18,
13/09/1967,0.306,
14/09/1967,0.204,
15/09/1967,0.17,
16/09/1967,0.159,
17/09/1967,0.153,
18/09/1967,0.173,
19/09/1967,0.252,
20/09/1967,0.538,
21/09/1967,0.28,
22/09/1967,0.178,
23/09/1967,0.122,
24/09/1967,0.538,
25/09/1967,0.586,
26/09/1967,2.76,
27/09/1967,0.612,
28/09/1967,0.391,
29/09/1967,1.89,
30/09/1967,1.68,
01/10/1967,4.28,
02/10/1967,1.07,
03/10/1967,3.84,
04/10/1967,0.934,
05/10/1967,0.6,
06/10/1967,2,
07/10/1967,0.895,
08/10/1967,4.27,
09/10/1967,8.21,
10/10/1967,1.12,
11/10/1967,0.881,
12/10/1967,0.96,
13/10/1967,1.24,
14/10/1967,4.33,
15/10/1967,1.82,
16/10/1967,7.19,
17/10/1967,1.89,
18/10/1967,0.708,
19/10/1967,1.01,
20/10/1967,0.603,
21/10/1967,0.413,
22/10/1967,0.776,
23/10/1967,1.15,
24/10/1967,0.535,
25/10/1967,1.73,
26/10/1967,1.47,
27/10/1967,2.66,
28/10/1967,1.1,
29/10/1967,0.742,
30/10/1967,1.59,
31/10/1967,1.36,
01/11/1967,1.85,
02/11/1967,1.71,
03/11/1967,1.25,
04/11/1967,0.736,
05/11/1967,1.39,
06/11/1967,0.799,
07/11/1967,0.626,
08/11/1967,0.394,
09/11/1967,0.575,
10/11/1967,0.586,
11/11/1967,1.25,
12/11/1967,0.481,
13/11/1967,0.6,
14/11/1967,0.64,
15/11/1967,1.2,
16/11/1967,0.595,
17/11/1967,0.354,
18/11/1967,0.289,
19/11/1967,0.261,
20/11/1967,0.246,
21/11/1967,0.229,
22/11/1967,0.21,
23/11/1967,0.193,
24/11/1967,0.19,
25/11/1967,0.297,
26/11/1967,0.309,
27/11/1967,1.5,
28/11/1967,2.57,
29/11/1967,0.833,
30/11/1967,0.609,
01/12/1967,0.365,
02/12/1967,0.303,
03/12/1967,0.286,
04/12/1967,0.246,
05/12/1967,0.493,
06/12/1967,0.62,
07/12/1967,0.345,
08/12/1967,0.314,
09/12/1967,0.348,
10/12/1967,0.3,
11/12/1967,1.25,
12/12/1967,2.86,
13/12/1967,1.87,
14/12/1967,1.26,
15/12/1967,1.32,
16/12/1967,0.782,
17/12/1967,0.379,
18/12/1967,0.816,
19/12/1967,0.66,
20/12/1967,0.377,
21/12/1967,1.25,
22/12/1967,6.8,
23/12/1967,3.36,
24/12/1967,2.25,
25/12/1967,1.38,
26/12/1967,0.629,
27/12/1967,1.35,
28/12/1967,0.824,
29/12/1967,0.487,
30/12/1967,0.892,
31/12/1967,0.547,
01/01/1968,2.51,
02/01/1968,1.32,
03/01/1968,1.3,
04/01/1968,0.552,
05/01/1968,1.99,
06/01/1968,0.699,
07/01/1968,0.405,
08/01/1968,0.249,
09/01/1968,0.32,
10/01/1968,0.331,
11/01/1968,0.278,
12/01/1968,0.246,
13/01/1968,8.95,
14/01/1968,5.95,
15/01/1968,1.13,
16/01/1968,5.08,
17/01/1968,1.5,
18/01/1968,2.01,
19/01/1968,0.748,
20/01/1968,0.442,
21/01/1968,0.348,
22/01/1968,0.3,
23/01/1968,0.272,
24/01/1968,0.249,
25/01/1968,0.258,
26/01/1968,0.292,
27/01/1968,0.889,
28/01/1968,0.51,
29/01/1968,0.909,
30/01/1968,2.54,
31/01/1968,1.84,
01/02/1968,0.838,
02/02/1968,0.612,
03/02/1968,0.402,
04/02/1968,1.61,
05/02/1968,0.521,
06/02/1968,0.36,
07/02/1968,0.323,
08/02/1968,0.28,
09/02/1968,0.263,
10/02/1968,0.303,
11/02/1968,0.266,
12/02/1968,0.629,
13/02/1968,0.94,
14/02/1968,0.515,
15/02/1968,0.314,
16/02/1968,0.292,
17/02/1968,0.255,
18/02/1968,0.229,
19/02/1968,0.212,
20/02/1968,0.198,
21/02/1968,0.184,
22/02/1968,0.167,
