date,flow
01/12/1961,13.56
02/12/1961,10.87
03/12/1961,5.635
04/12/1961,25.43
05/12/1961,16.96
06/12/1961,6.456
07/12/1961,4.276
08/12/1961,9.316
09/12/1961,10.51
10/12/1961,20.59
11/12/1961,12.66
12/12/1961,13.99
13/12/1961,21.78
14/12/1961,8.014
15/12/1961,4.304
16/12/1961,3.002
17/12/1961,2.325
18/12/1961,2.149
19/12/1961,2.166
20/12/1961,2.141
21/12/1961,2.087
22/12/1961,1.965
23/12/1961,1.702
24/12/1961,1.371
25/12/1961,1.161
26/12/1961,0.994
27/12/1961,0.844
28/12/1961,0.75
29/12/1961,1.826
30/12/1961,1.614
31/12/1961,1.43
01/01/1962,1.515
02/01/1962,2.002
03/01/1962,1.549
04/01/1962,1.557
05/01/1962,1.628
06/01/1962,14.58
07/01/1962,9.401
08/01/1962,12.8
09/01/1962,11.55
10/01/1962,21.78
11/01/1962,12.91
12/01/1962,8.41
13/01/1962,5.069
14/01/1962,3.54
15/01/1962,16.68
16/01/1962,8.07
17/01/1962,8.75
18/01/1962,8.099
19/01/1962,10.68
20/01/1962,13.99
21/01/1962,6.853
22/01/1962,6.456
23/01/1962,15.43
24/01/1962,12.29
25/01/1962,6.626
26/01/1962,4.163
27/01/1962,3.002
28/01/1962,2.594
29/01/1962,3.228
30/01/1962,19.91
31/01/1962,7.702
01/02/1962,8.41
02/02/1962,9.288
03/02/1962,9.033
04/02/1962,8.354
05/02/1962,7.787
06/02/1962,7.193
07/02/1962,5.352
08/02/1962,4.276
09/02/1962,3.964
10/02/1962,3.738
11/02/1962,20.73
12/02/1962,9.288
13/02/1962,4.729
14/02/1962,6.201
15/02/1962,5.862
16/02/1962,3.71
17/02/1962,2.775
18/02/1962,2.379
19/02/1962,2.435
20/02/1962,2.325
21/02/1962,2.013
22/02/1962,1.75
23/02/1962,1.699
24/02/1962,1.489
25/02/1962,1.402
26/02/1962,1.453
27/02/1962,1.472
28/02/1962,1.472
01/03/1962,1.487
02/03/1962,1.376
03/03/1962,1.201
04/03/1962,1.104
05/03/1962,1.048
06/03/1962,1.138
07/03/1962,1.305
08/03/1962,1.243
09/03/1962,1.294
10/03/1962,1.3
11/03/1962,1.201
12/03/1962,1.076
13/03/1962,1.059
14/03/1962,1.036
15/03/1962,1.036
16/03/1962,1.036
17/03/1962,1.014
18/03/1962,0.971
19/03/1962,0.9
20/03/1962,0.861
21/03/1962,0.827
22/03/1962,0.835
23/03/1962,0.844
24/03/1962,5.239
25/03/1962,8.354
26/03/1962,4.134
27/03/1962,5.805
28/03/1962,12.8
29/03/1962,6.032
30/03/1962,3.596
31/03/1962,3.058
01/04/1962,57.09
02/04/1962,14.22
03/04/1962,10.45
04/04/1962,7.702
05/04/1962,4.559
06/04/1962,10.56
07/04/1962,8.438
08/04/1962,6.032
09/04/1962,5.635
10/04/1962,4.616
11/04/1962,3.483
12/04/1962,2.619
13/04/1962,2.047
14/04/1962,1.756
15/04/1962,1.727
16/04/1962,1.699
17/04/1962,1.642
18/04/1962,1.699
19/04/1962,1.727
20/04/1962,1.756
21/04/1962,1.699
22/04/1962,1.489
23/04/1962,1.472
24/04/1962,1.472
25/04/1962,1.472
26/04/1962,1.467
27/04/1962,1.458
28/04/1962,1.32
29/04/1962,1.138
30/04/1962,1.07
01/05/1962,1.059
02/05/1962,1.07
03/05/1962,1.036
04/05/1962,0.875
05/05/1962,2.03
06/05/1962,9.345
07/05/1962,9.515
08/05/1962,10.48
09/05/1962,5.635
10/05/1962,3.426
11/05/1962,2.888
12/05/1962,2.214
13/05/1962,1.744
14/05/1962,1.6
15/05/1962,3.087
16/05/1962,5.465
17/05/1962,2.86
18/05/1962,6.513
19/05/1962,14.9
20/05/1962,8.608
21/05/1962,9.061
22/05/1962,7.419
23/05/1962,4.219
24/05/1962,2.832
25/05/1962,2.025
26/05/1962,1.801
27/05/1962,1.713
28/05/1962,1.671
29/05/1962,1.549
30/05/1962,1.419
31/05/1962,1.294
01/06/1962,1.195
02/06/1962,1.11
03/06/1962,1.025
04/06/1962,0.991
05/06/1962,0.954
06/06/1962,0.954
07/06/1962,0.934
08/06/1962,0.886
09/06/1962,0.824
10/06/1962,0.767
11/06/1962,0.773
12/06/1962,3.483
13/06/1962,5.097
14/06/1962,5.692
15/06/1962,8.014
16/06/1962,5.239
17/06/1962,2.687
18/06/1962,3.483
19/06/1962,2.588
20/06/1962,2.141
21/06/1962,10.82
22/06/1962,6.598
23/06/1962,3.228
24/06/1962,2.775
25/06/1962,2.313
26/06/1962,2.458
27/06/1962,1.889
28/06/1962,2.234
29/06/1962,2.036
30/06/1962,1.538
01/07/1962,1.209
02/07/1962,1.036
03/07/1962,0.991
04/07/1962,0.946
05/07/1962,0.909
06/07/1962,0.861
07/07/1962,0.889
08/07/1962,0.813
09/07/1962,0.762
10/07/1962,0.833
11/07/1962,1.127
12/07/1962,1.002
13/07/1962,0.977
14/07/1962,0.903
15/07/1962,0.867
16/07/1962,0.844
17/07/1962,0.838
18/07/1962,0.929
19/07/1962,1.184
20/07/1962,1.099
21/07/1962,1.413
22/07/1962,1.472
23/07/1962,1.351
24/07/1962,1.269
25/07/1962,1.184
26/07/1962,1.031
27/07/1962,0.968
28/07/1962,0.917
29/07/1962,0.858
30/07/1962,1.269
31/07/1962,1.172
01/08/1962,1.093
02/08/1962,0.994
03/08/1962,5.465
04/08/1962,3.172
05/08/1962,2.013
06/08/1962,1.453
07/08/1962,1.331
08/08/1962,1.345
09/08/1962,16
10/08/1962,17.33
11/08/1962,26.73
12/08/1962,6.626
13/08/1962,3.653
14/08/1962,2.648
15/08/1962,2.268
16/08/1962,1.852
17/08/1962,1.6
18/08/1962,1.586
19/08/1962,4.191
20/08/1962,6.315
21/08/1962,3.596
22/08/1962,3.426
23/08/1962,38.43
24/08/1962,9.713
25/08/1962,4.559
26/08/1962,41.6
27/08/1962,10.05
28/08/1962,6.343
29/08/1962,4.078
30/08/1962,2.628
31/08/1962,2.07
01/09/1962,1.773
02/09/1962,1.509
03/09/1962,1.665
04/09/1962,4.984
05/09/1962,3.483
06/09/1962,2.973
07/09/1962,2.458
08/09/1962,2.169
09/09/1962,18.43
10/09/1962,13
11/09/1962,38.74
12/09/1962,17.3
13/09/1962,6.654
14/09/1962,4.899
15/09/1962,6.116
16/09/1962,4.701
17/09/1962,3.936
18/09/1962,3.483
19/09/1962,2.786
20/09/1962,2.345
21/09/1962,2.036
22/09/1962,1.758
23/09/1962,1.475
24/09/1962,1.382
25/09/1962,1.382
26/09/1962,1.509
27/09/1962,2.945
28/09/1962,3.936
29/09/1962,6.06
30/09/1962,12.29
01/10/1962,12.26
02/10/1962,8.665
03/10/1962,4.333
04/10/1962,3.964
05/10/1962,4.871
06/10/1962,3.143
07/10/1962,2.282
08/10/1962,1.96
09/10/1962,1.727
10/10/1962,1.606
11/10/1962,1.455
12/10/1962,1.325
13/10/1962,1.274
14/10/1962,1.155
15/10/1962,1.07
16/10/1962,1.093
17/10/1962,1.076
18/10/1962,1.11
19/10/1962,1.232
20/10/1962,1.15
21/10/1962,1.008
22/10/1962,0.991
23/10/1962,0.991
24/10/1962,0.991
25/10/1962,1.254
26/10/1962,1.767
27/10/1962,5.493
28/10/1962,4.248
29/10/1962,26
30/10/1962,8.382
31/10/1962,5.975
01/11/1962,14.16
02/11/1962,13.31
03/11/1962,13.42
04/11/1962,6.796
05/11/1962,3.936
06/11/1962,2.764
07/11/1962,3.851
08/11/1962,3.313
09/11/1962,2.464
10/11/1962,2.044
11/11/1962,1.75
12/11/1962,1.623
13/11/1962,1.586
14/11/1962,2.288
15/11/1962,3.681
16/11/1962,9.231
17/11/1962,6.654
18/11/1962,4.078
19/11/1962,4.078
20/11/1962,3.426
21/11/1962,3.2
22/11/1962,8.212
23/11/1962,17.02
24/11/1962,11.92
25/11/1962,4.531
26/11/1962,2.832
27/11/1962,2.124
28/11/1962,1.928
29/11/1962,1.795
30/11/1962,1.764
01/12/1962,1.583
02/12/1962,1.351
03/12/1962,1.218
04/12/1962,1.254
05/12/1962,1.257
06/12/1962,1.218
07/12/1962,1.274
08/12/1962,7.617
09/12/1962,7.476
10/12/1962,11.16
11/12/1962,35.31
12/12/1962,11.24
13/12/1962,6.032
14/12/1962,16.79
15/12/1962,22.63
16/12/1962,6.258
17/12/1962,4.134
18/12/1962,4.021
19/12/1962,5.154
20/12/1962,18.35
21/12/1962,7.334
22/12/1962,4.191
23/12/1962,2.801
24/12/1962,2.243
25/12/1962,2.067
26/12/1962,2.268
27/12/1962,1.979
28/12/1962,1.795
29/12/1962,1.693
30/12/1962,1.441
31/12/1962,1.314
01/01/1963,1.172
02/01/1963,1.116
03/01/1963,1.325
04/01/1963,1.223
05/01/1963,1.144
06/01/1963,1.017
07/01/1963,0.623
08/01/1963,0.552
09/01/1963,1.512
10/01/1963,1.509
11/01/1963,1.498
12/01/1963,2.022
13/01/1963,2.246
14/01/1963,1.594
15/01/1963,1.249
16/01/1963,1.235
17/01/1963,2.076
18/01/1963,2.415
19/01/1963,2.26
20/01/1963,2.056
21/01/1963,1.829
22/01/1963,2.206
23/01/1963,1.991
24/01/1963,1.974
25/01/1963,2.013
26/01/1963,1.761
27/01/1963,1.359
28/01/1963,1.212
29/01/1963,1.161
30/01/1963,1.161
31/01/1963,1.082
01/02/1963,1.127
02/02/1963,1.215
03/02/1963,1.121
04/02/1963,1.099
05/02/1963,1.144
06/02/1963,1.127
07/02/1963,1.832
08/02/1963,2.339
09/02/1963,2.118
10/02/1963,1.736
11/02/1963,1.586
12/02/1963,1.467
13/02/1963,1.365
14/02/1963,1.535
15/02/1963,1.713
16/02/1963,1.657
17/02/1963,1.487
18/02/1963,1.441
19/02/1963,1.455
20/02/1963,1.376
21/02/1963,1.396
22/02/1963,1.416
23/02/1963,1.365
24/02/1963,1.354
25/02/1963,1.339
26/02/1963,1.164
27/02/1963,0.903
28/02/1963,0.634
01/03/1963,0.657
02/03/1963,0.671
03/03/1963,0.708
04/03/1963,1.167
05/03/1963,16.62
06/03/1963,25.51
07/03/1963,9.26
08/03/1963,6.258
09/03/1963,17.9
10/03/1963,9.231
11/03/1963,4.276
12/03/1963,2.744
13/03/1963,17.36
14/03/1963,29.45
15/03/1963,10.51
16/03/1963,11.07
